row_id,sp_code,region,seasons,n_seasons,tifs
1,ANMU,Pacific,spring,1,ANMU_spring_predicted_density.tif
2,ARTE,Atlantic,summer,1,ARTE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
3,ASSP,Pacific,fall;spring;summer,3,ASSP_fall_predicted_density.tif;ASSP_spring_predicted_density.tif;ASSP_summer_predicted_density.tif
4,ATPU,Atlantic,fall;spring;summer;winter,4,ATPU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;ATPU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;ATPU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;ATPU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
5,AUSH,Atlantic,fall;spring;summer;winter,4,AUSH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;AUSH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;AUSH_summer_predicted_relative_density_bootstrap_QUANT_50.tif;AUSH_winter_predicted_relative_density_bootstrap_QUANT_50.tif
6,BCPE,Atlantic,fall;spring;summer;winter,4,BCPE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;BCPE_spring_predicted_relative_density_bootstrap_QUANT_50.tif;BCPE_summer_predicted_relative_density_bootstrap_QUANT_50.tif;BCPE_winter_predicted_relative_density_bootstrap_QUANT_50.tif
7,BFAL,Pacific,fall;spring;summer;winter,4,BFAL_fall_predicted_density.tif;BFAL_spring_predicted_density.tif;BFAL_summer_predicted_density.tif;BFAL_winter_predicted_density.tif
8,BLGU,Atlantic,summer,1,BLGU_summer_predicted_relative_density_bootstrap_QUANT_50.tif
9,BLKI,Atlantic,fall;spring;winter,3,BLKI_fall_predicted_relative_density_bootstrap_QUANT_50.tif;BLKI_spring_predicted_relative_density_bootstrap_QUANT_50.tif;BLKI_winter_predicted_relative_density_bootstrap_QUANT_50.tif
10,BLKI,Pacific,fall;spring;winter,3,BLKI_fall_predicted_density.tif;BLKI_spring_predicted_density.tif;BLKI_winter_predicted_density.tif
11,BLSC,Atlantic,fall;spring;winter,3,BLSC_fall_predicted_relative_density_bootstrap_QUANT_50.tif;BLSC_spring_predicted_relative_density_bootstrap_QUANT_50.tif;BLSC_winter_predicted_relative_density_bootstrap_QUANT_50.tif
12,BLSP,Pacific,fall;spring;summer,3,BLSP_fall_predicted_density.tif;BLSP_spring_predicted_density.tif;BLSP_summer_predicted_density.tif
13,BOGU,Atlantic,fall;spring;winter,3,BOGU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;BOGU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;BOGU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
14,BOGU,Pacific,fall;spring;winter,3,BOGU_fall_predicted_density.tif;BOGU_spring_predicted_density.tif;BOGU_winter_predicted_density.tif
15,BRAC,Pacific,spring;summer,2,BRAC_spring_predicted_density.tif;BRAC_summer_predicted_density.tif
16,BRPE,Atlantic,fall;spring;summer;winter,4,BRPE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;BRPE_spring_predicted_relative_density_bootstrap_QUANT_50.tif;BRPE_summer_predicted_relative_density_bootstrap_QUANT_50.tif;BRPE_winter_predicted_relative_density_bootstrap_QUANT_50.tif
17,BRPE,Pacific,fall;spring;summer;winter,4,BRPE_fall_predicted_density.tif;BRPE_spring_predicted_density.tif;BRPE_summer_predicted_density.tif;BRPE_winter_predicted_density.tif
18,BRSP,Atlantic,summer,1,BRSP_summer_predicted_relative_density_bootstrap_QUANT_50.tif
19,BRTE,Atlantic,fall;summer,2,BRTE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;BRTE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
20,BULS,Pacific,fall;summer,2,BULS_fall_predicted_density.tif;BULS_summer_predicted_density.tif
21,BVSH,Pacific,fall;spring;winter,3,BVSH_fall_predicted_density.tif;BVSH_spring_predicted_density.tif;BVSH_winter_predicted_density.tif
22,CAAU,Pacific,fall;spring;summer;winter,4,CAAU_fall_predicted_density.tif;CAAU_spring_predicted_density.tif;CAAU_summer_predicted_density.tif;CAAU_winter_predicted_density.tif
23,CAGU,Pacific,fall;spring;summer;winter,4,CAGU_fall_predicted_density.tif;CAGU_spring_predicted_density.tif;CAGU_summer_predicted_density.tif;CAGU_winter_predicted_density.tif
24,CATE,Pacific,spring;summer,2,CATE_spring_predicted_density.tif;CATE_summer_predicted_density.tif
25,COEI,Atlantic,fall;spring;summer;winter,4,COEI_fall_predicted_relative_density_bootstrap_QUANT_50.tif;COEI_spring_predicted_relative_density_bootstrap_QUANT_50.tif;COEI_summer_predicted_relative_density_bootstrap_QUANT_50.tif;COEI_winter_predicted_relative_density_bootstrap_QUANT_50.tif
26,COLO,Atlantic,fall;spring;summer;winter,4,COLO_fall_predicted_relative_density_bootstrap_QUANT_50.tif;COLO_spring_predicted_relative_density_bootstrap_QUANT_50.tif;COLO_summer_predicted_relative_density_bootstrap_QUANT_50.tif;COLO_winter_predicted_relative_density_bootstrap_QUANT_50.tif
27,COLO,Pacific,spring;summer,2,COLO_spring_predicted_density.tif;COLO_summer_predicted_density.tif
28,COMU,Atlantic,spring;winter,2,COMU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;COMU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
29,COMU,Pacific,fall;spring;summer;winter,4,COMU_fall_predicted_density.tif;COMU_spring_predicted_density.tif;COMU_summer_predicted_density.tif;COMU_winter_predicted_density.tif
30,COPE,Pacific,fall;spring;summer,3,COPE_fall_predicted_density.tif;COPE_spring_predicted_density.tif;COPE_summer_predicted_density.tif
31,CORM,Pacific,fall;winter,2,CORM_fall_predicted_density.tif;CORM_winter_predicted_density.tif
32,COSH,Atlantic,fall;spring;summer,3,COSH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;COSH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;COSH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
33,COTE,Atlantic,fall;spring;summer,3,COTE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;COTE_spring_predicted_relative_density_bootstrap_QUANT_50.tif;COTE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
34,COTE-ARTE,Pacific,fall;spring;summer,3,COTE-ARTE_fall_predicted_density.tif;COTE-ARTE_spring_predicted_density.tif;COTE-ARTE_summer_predicted_density.tif
35,DCCO,Atlantic,fall;spring;summer;winter,4,DCCO_fall_predicted_relative_density_bootstrap_QUANT_50.tif;DCCO_spring_predicted_relative_density_bootstrap_QUANT_50.tif;DCCO_summer_predicted_relative_density_bootstrap_QUANT_50.tif;DCCO_winter_predicted_relative_density_bootstrap_QUANT_50.tif
36,DCCO,Pacific,spring;summer,2,DCCO_spring_predicted_density.tif;DCCO_summer_predicted_density.tif
37,DOVE,Atlantic,fall;spring;summer;winter,4,DOVE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;DOVE_spring_predicted_relative_density_bootstrap_QUANT_50.tif;DOVE_summer_predicted_relative_density_bootstrap_QUANT_50.tif;DOVE_winter_predicted_relative_density_bootstrap_QUANT_50.tif
38,FTSP,Pacific,fall;spring;summer;winter,4,FTSP_fall_predicted_density.tif;FTSP_spring_predicted_density.tif;FTSP_summer_predicted_density.tif;FTSP_winter_predicted_density.tif
39,GBBG,Atlantic,fall;spring;summer;winter,4,GBBG_fall_predicted_relative_density_bootstrap_QUANT_50.tif;GBBG_spring_predicted_relative_density_bootstrap_QUANT_50.tif;GBBG_summer_predicted_relative_density_bootstrap_QUANT_50.tif;GBBG_winter_predicted_relative_density_bootstrap_QUANT_50.tif
40,GRSH,Atlantic,fall;spring;summer;winter,4,GRSH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;GRSH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;GRSH_summer_predicted_relative_density_bootstrap_QUANT_50.tif;GRSH_winter_predicted_relative_density_bootstrap_QUANT_50.tif
41,GRSK,Atlantic,fall,1,GRSK_fall_predicted_relative_density_bootstrap_QUANT_50.tif
42,HEEG,Pacific,fall;summer;winter,3,HEEG_fall_predicted_density.tif;HEEG_summer_predicted_density.tif;HEEG_winter_predicted_density.tif
43,HERG,Atlantic,fall;spring;summer;winter,4,HERG_fall_predicted_relative_density_bootstrap_QUANT_50.tif;HERG_spring_predicted_relative_density_bootstrap_QUANT_50.tif;HERG_summer_predicted_relative_density_bootstrap_QUANT_50.tif;HERG_winter_predicted_relative_density_bootstrap_QUANT_50.tif
44,HERG-ICGU,Pacific,fall;spring;summer;winter,4,HERG-ICGU_fall_predicted_density.tif;HERG-ICGU_spring_predicted_density.tif;HERG-ICGU_summer_predicted_density.tif;HERG-ICGU_winter_predicted_density.tif
45,HOGR,Atlantic,winter,1,HOGR_winter_predicted_relative_density_bootstrap_QUANT_50.tif
46,JAEG,Pacific,fall;spring;summer;winter,4,JAEG_fall_predicted_density.tif;JAEG_spring_predicted_density.tif;JAEG_summer_predicted_density.tif;JAEG_winter_predicted_density.tif
47,LAAL,Pacific,spring;winter,2,LAAL_spring_predicted_density.tif;LAAL_winter_predicted_density.tif
48,LAGU,Atlantic,fall;spring;summer;winter,4,LAGU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LAGU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;LAGU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;LAGU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
49,LESP,Atlantic,fall;spring;summer,3,LESP_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LESP_spring_predicted_relative_density_bootstrap_QUANT_50.tif;LESP_summer_predicted_relative_density_bootstrap_QUANT_50.tif
50,LESP,Pacific,fall;spring;summer;winter,4,LESP_fall_predicted_density.tif;LESP_spring_predicted_density.tif;LESP_summer_predicted_density.tif;LESP_winter_predicted_density.tif
51,LETE,Atlantic,fall;summer,2,LETE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LETE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
52,LOON,Pacific,fall;spring;summer;winter,4,LOON_fall_predicted_density.tif;LOON_spring_predicted_density.tif;LOON_summer_predicted_density.tif;LOON_winter_predicted_density.tif
53,LTDU,Atlantic,fall;spring;winter,3,LTDU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LTDU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;LTDU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
54,MAMU,Pacific,spring;summer,2,MAMU_spring_predicted_density.tif;MAMU_summer_predicted_density.tif
55,MASH,Atlantic,fall;spring;summer,3,MASH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;MASH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;MASH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
56,MUPE,Pacific,spring,1,MUPE_spring_predicted_density.tif
57,NOFU,Atlantic,fall;spring;summer;winter,4,NOFU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;NOFU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;NOFU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;NOFU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
58,NOFU,Pacific,fall;spring;summer;winter,4,NOFU_fall_predicted_density.tif;NOFU_spring_predicted_density.tif;NOFU_summer_predicted_density.tif;NOFU_winter_predicted_density.tif
59,NOGA,Atlantic,fall;spring;summer;winter,4,NOGA_fall_predicted_relative_density_bootstrap_QUANT_50.tif;NOGA_spring_predicted_relative_density_bootstrap_QUANT_50.tif;NOGA_summer_predicted_relative_density_bootstrap_QUANT_50.tif;NOGA_winter_predicted_relative_density_bootstrap_QUANT_50.tif
60,PAJA,Atlantic,fall;spring;summer,3,PAJA_fall_predicted_relative_density_bootstrap_QUANT_50.tif;PAJA_spring_predicted_relative_density_bootstrap_QUANT_50.tif;PAJA_summer_predicted_relative_density_bootstrap_QUANT_50.tif
61,PAJA-LTJA,Pacific,fall;spring;summer,3,PAJA-LTJA_fall_predicted_density.tif;PAJA-LTJA_spring_predicted_density.tif;PAJA-LTJA_summer_predicted_density.tif
62,PECO,Pacific,spring;summer,2,PECO_spring_predicted_density.tif;PECO_summer_predicted_density.tif
63,PFSH,Pacific,fall;spring;summer,3,PFSH_fall_predicted_density.tif;PFSH_spring_predicted_density.tif;PFSH_summer_predicted_density.tif
64,PHAL,Pacific,fall;spring;summer;winter,4,PHAL_fall_predicted_density.tif;PHAL_spring_predicted_density.tif;PHAL_summer_predicted_density.tif;PHAL_winter_predicted_density.tif
65,PIGU,Pacific,spring;summer,2,PIGU_spring_predicted_density.tif;PIGU_summer_predicted_density.tif
66,POJA,Atlantic,fall;spring;summer,3,POJA_fall_predicted_relative_density_bootstrap_QUANT_50.tif;POJA_spring_predicted_relative_density_bootstrap_QUANT_50.tif;POJA_summer_predicted_relative_density_bootstrap_QUANT_50.tif
67,POJA,Pacific,fall;spring;summer;winter,4,POJA_fall_predicted_density.tif;POJA_spring_predicted_density.tif;POJA_summer_predicted_density.tif;POJA_winter_predicted_density.tif
68,RAZO,Atlantic,fall;spring;summer;winter,4,RAZO_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RAZO_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RAZO_summer_predicted_relative_density_bootstrap_QUANT_50.tif;RAZO_winter_predicted_relative_density_bootstrap_QUANT_50.tif
69,RBGU,Atlantic,fall;spring;summer;winter,4,RBGU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RBGU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RBGU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;RBGU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
70,RBME,Atlantic,spring;winter,2,RBME_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RBME_winter_predicted_relative_density_bootstrap_QUANT_50.tif
71,REPH,Atlantic,fall;spring;summer,3,REPH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;REPH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;REPH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
72,RHAU,Pacific,fall;spring;summer;winter,4,RHAU_fall_predicted_density.tif;RHAU_spring_predicted_density.tif;RHAU_summer_predicted_density.tif;RHAU_winter_predicted_density.tif
73,RNPH,Atlantic,fall;spring;summer,3,RNPH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RNPH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RNPH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
74,ROST,Atlantic,fall;spring;summer,3,ROST_fall_predicted_relative_density_bootstrap_QUANT_50.tif;ROST_spring_predicted_relative_density_bootstrap_QUANT_50.tif;ROST_summer_predicted_relative_density_bootstrap_QUANT_50.tif
75,ROYT,Atlantic,fall;spring;summer,3,ROYT_fall_predicted_relative_density_bootstrap_QUANT_50.tif;ROYT_spring_predicted_relative_density_bootstrap_QUANT_50.tif;ROYT_summer_predicted_relative_density_bootstrap_QUANT_50.tif
76,ROYT-ELTE,Pacific,fall;spring;summer,3,ROYT-ELTE_fall_predicted_density.tif;ROYT-ELTE_spring_predicted_density.tif;ROYT-ELTE_summer_predicted_density.tif
77,RTLO,Atlantic,fall;spring;winter,3,RTLO_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RTLO_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RTLO_winter_predicted_relative_density_bootstrap_QUANT_50.tif
78,RTLO,Pacific,spring;summer,2,RTLO_spring_predicted_density.tif;RTLO_summer_predicted_density.tif
79,SAGU,Pacific,fall;spring;summer,3,SAGU_fall_predicted_density.tif;SAGU_spring_predicted_density.tif;SAGU_summer_predicted_density.tif
80,SCMU-GUMU-CRMU,Pacific,spring,1,SCMU-GUMU-CRMU_spring_predicted_density.tif
81,SCOT,Pacific,fall;spring;summer;winter,4,SCOT_fall_predicted_density.tif;SCOT_spring_predicted_density.tif;SCOT_summer_predicted_density.tif;SCOT_winter_predicted_density.tif
82,SOSH,Atlantic,fall;spring;summer,3,SOSH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;SOSH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;SOSH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
83,SOTE,Atlantic,spring;summer,2,SOTE_spring_predicted_relative_density_bootstrap_QUANT_50.tif;SOTE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
84,SPSK,Atlantic,fall;summer,2,SPSK_fall_predicted_relative_density_bootstrap_QUANT_50.tif;SPSK_summer_predicted_relative_density_bootstrap_QUANT_50.tif
85,SPSK,Pacific,fall,1,SPSK_fall_predicted_density.tif
86,STTS-SOSH-FFSH,Pacific,fall;spring;summer;winter,4,STTS-SOSH-FFSH_fall_predicted_density.tif;STTS-SOSH-FFSH_spring_predicted_density.tif;STTS-SOSH-FFSH_summer_predicted_density.tif;STTS-SOSH-FFSH_winter_predicted_density.tif
87,SUSC,Atlantic,fall;spring;winter,3,SUSC_fall_predicted_relative_density_bootstrap_QUANT_50.tif;SUSC_spring_predicted_relative_density_bootstrap_QUANT_50.tif;SUSC_winter_predicted_relative_density_bootstrap_QUANT_50.tif
88,TBMU,Atlantic,spring;winter,2,TBMU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;TBMU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
89,TUPU,Pacific,spring;summer,2,TUPU_spring_predicted_density.tif;TUPU_summer_predicted_density.tif
90,WEGR-CLGR,Pacific,fall;spring;winter,3,WEGR-CLGR_fall_predicted_density.tif;WEGR-CLGR_spring_predicted_density.tif;WEGR-CLGR_winter_predicted_density.tif
91,WEGU-WGWH-GWGU,Pacific,fall;spring;summer;winter,4,WEGU-WGWH-GWGU_fall_predicted_density.tif;WEGU-WGWH-GWGU_spring_predicted_density.tif;WEGU-WGWH-GWGU_summer_predicted_density.tif;WEGU-WGWH-GWGU_winter_predicted_density.tif
92,WISP,Atlantic,fall;spring;summer,3,WISP_fall_predicted_relative_density_bootstrap_QUANT_50.tif;WISP_spring_predicted_relative_density_bootstrap_QUANT_50.tif;WISP_summer_predicted_relative_density_bootstrap_QUANT_50.tif
93,WWSC,Atlantic,fall;spring;winter,3,WWSC_fall_predicted_relative_density_bootstrap_QUANT_50.tif;WWSC_spring_predicted_relative_density_bootstrap_QUANT_50.tif;WWSC_winter_predicted_relative_density_bootstrap_QUANT_50.tif
